ID,タイトル,ジャンル,難易度,長さ,文字数,漢字率
yuenchi_essay_001,遊園地の思い出,daily_life,beginner,未分類,,
jungle-gym-essay,ジャングルジムと公園の時間,daily_life,basic,short,348.0,5.0
tetris-popularity-essay,テトリスが流行した理由,ゲーム・文化,基礎,短文,504.0,25.0
sports-society-future,スポーツと社会の変化,スポーツ・観光,標準,２５００字未満,2284.0,36.8
tourism-industry-future,観光業の発展と地域社会の未来,スポーツ・観光,発展,２５００字未満,2179.0,48.0
clock-history-technology,時計と時間管理の変化,スポーツ・観光,発展,３０００字未満,2511.0,41.3
regional-culture-preservation,地域文化の継承と観光振興,スポーツ・観光,発展,３０００字未満,2585.0,41.3
jump-rope-essay,縄跳びと冬の運動,スポーツ・運動,基礎,短文,272.0,12.0
train-essay-beginner,列車のまどから見えるけしき,乗り物・交通,初級,短文,264.0,12.0
69,新幹線の旅,乗り物・交通,初級,300字級,307.0,0.18
anglerfish-essay,アンコウと深い海,動物・自然,初級,短文,460.0,19.5
kadai_naphtha,ナフサと化学工業,技術・産業,基礎,短文,837.0,35.4
petbottle-recycle-technology,ペットボトルのリサイクル技術,技術・産業,標準,２５００字未満,2482.0,31.1
science-technology-future,科学技術の発展と未来社会,技術・産業,発展,２０００字未満,1897.0,38.4
aviation-future-and-transport,航空技術と空の移動の変化,技術・産業,発展,２０００字未満,1992.0,46.7
transport_logistics_01,交通・鉄道・物流の発展,技術・産業,発展,２５００字未満,2246.0,45.9
17,測量と社会基盤,技術・産業,発展,３０００字未満,2555.0,37.8
home-appliances-history,白物家電の歴史と生活の変化,技術・産業,発展,３０００字未満,2957.0,42.4
koinobori_essay,こいのぼりと春の空,文化・生活,基礎,短文,493.0,18.0
valentine-day-essay,バレンタインデーと思い出,文化・生活,基礎,短文,499.0,18.0
owarai-hormone-essay,お笑いとホルモン,文化・社会,基礎,短文,538.0,25.8
marching-essay,マーチングと音の一体感,文化・芸術,基礎,短文,482.0,20.0
zoo-essay,動物園で感じる静かな時間,文化・芸術,基礎,短文,549.0,36.8
cinema_complex_01,シネマ・コンプレックスの広がり,文化・芸術,基礎,５００字未満,490.0,36.7
art-famous-architecture,有名な建築物と時代の風景,文化・芸術,基礎,１５００字未満,1188.0,32.1
chopin-etude-episodes,ショパンのエチュードにまつわるエピソード,文化・芸術,標準,２０００字未満,1945.0,31.9
music-culture-history,音楽文化と歴史,文化・芸術,標準,２５００字未満,2344.0,37.6
fashion_history_01,服飾とアパレル産業の変化,文化・芸術,発展,２５００字未満,2234.0,43.5
art-craft-culture,美術と工芸文化の発展,文化・芸術,発展,２５００字未満,2239.0,41.8
theater-column,演劇と舞台文化,文化・芸術,発展,３０００字未満,2539.0,40.6
literature-digital-reading,文学と読書文化の変化,文化・芸術,発展,３０００字未満,2552.0,40.1
language-writing-translation,言語・文字・翻訳の歴史と役割,文化・芸術,発展,３０００字未満,2733.0,40.6
high-priced-string-instruments,高額な弦楽器が存在する理由,文化・芸術,発展,３５００字未満,3017.0,37.9
edo-food-culture-modern-japan,現代につながる江戸時代の食習慣,文化・芸術,発展,３５００字未満,3027.0,36.2
bach-math-relationship,バッハの音楽と数学の関連性,文化・芸術,発展,３５００字未満,3338.0,35.0
bag-essay,カバンと日々の持ち運び,暮らし・道具,基礎,短文,630.0,32.9
